key;name;kreis_type;year;crime;crime_noasyl;total_solved;noasyl_solved;hom;arson
DG;Deutschland;.;2016;.;.;.;.;.;.
01001;Flensburg;KfS;2016;9993;9502;56,4;54,2;6;33
01002;Kiel;KfS;2016;25908;24582;50;47,3;9;83
01003;Lübeck;KfS;2016;25647;24493;56,2;54,2;4;92
01004;Neumünster;KfS;2016;14524;9169;73,8;58,6;2;34
01051;Dithmarschen;K;2016;7661;7645;55,3;55,2;0;48
01053;Herzogtum Lauenburg;K;2016;10273;10237;50,9;50,7;4;54
01054;Nordfriesland;K;2016;10547;9585;54,8;50,3;3;41
01055;Ostholstein;K;2016;13910;12611;52,7;47,9;5;60
01056;Pinneberg;K;2016;18956;18848;48;47,8;4;71
01057;Plön;K;2016;5671;5627;49;48,6;2;25
01058;Rendsburg-Eckernförde;K;2016;13705;13467;52,6;51,7;6;59
01059;Schleswig-Flensburg;K;2016;10439;8213;62,8;52,8;1;28
01060;Segeberg;K;2016;17890;15357;56,1;48,9;6;47
01061;Steinburg;K;2016;8433;7743;58;54,3;3;30
01062;Stormarn;K;2016;12984;12925;43,6;43,3;3;55
02;Hamburg;KfS;2016;238464;231214;44,8;43,1;68;427
03101;Braunschweig;KfS;2016;23902;23388;59,3;58,4;5;34
03102;Salzgitter;KfS;2016;6563;6547;60,5;60,4;11;29
03103;Wolfsburg;KfS;2016;8988;8956;55,3;55,1;8;28
03151;Gifhorn;LK;2016;7464;7434;62,9;62,7;6;36
03152;Göttingen;LK;2016;20147;18319;59,7;55,7;8;85
03153;Goslar;LK;2016;9186;9173;62,1;62,1;5;42
03154;Helmstedt;LK;2016;5733;5703;61,7;61,5;3;37
03155;Northeim;LK;2016;7791;7736;65,1;64,8;2;26
03156;Osterode am Harz;LK;2016;4174;4167;69,7;69,7;4;30
03157;Peine;LK;2016;7056;7001;57,7;57,4;7;32
03158;Wolfenbüttel;LK;2016;4693;4682;57,6;57,5;6;19
03159;Göttingen, Landkreis;LK;2016;24321;22486;61,4;58,3;12;115
03241;Region Hannover;LK;2016;121698;117881;62,1;60,9;58;193
03251;Diepholz;LK;2016;11942;11924;60,6;60,5;7;61
03252;Hameln-Pyrmont;LK;2016;9215;9173;68,5;68,4;5;20
03254;Hildesheim;LK;2016;18199;18104;59,9;59,7;17;75
03255;Holzminden;LK;2016;3488;3458;69,8;69,6;2;17
03256;Nienburg (Weser);LK;2016;6856;6837;59,5;59,4;6;32
03257;Schaumburg;LK;2016;9222;9210;62,9;62,9;4;42
03351;Celle;LK;2016;11581;11551;62,1;62;10;82
03352;Cuxhaven;LK;2016;9773;9712;59,3;59;0;65
03353;Harburg;LK;2016;17732;17632;65,4;65,2;19;62
03354;Lüchow-Dannenberg;LK;2016;2454;2444;70,9;70,8;3;23
03355;Lüneburg;LK;2016;12593;12461;56;55,5;7;41
03356;Osterholz;LK;2016;6018;6003;58,8;58,7;0;22
03357;Rotenburg (Wümme);LK;2016;10189;10073;63,4;63;8;49
03358;Landkreis Heidekreis;LK;2016;11233;11163;63;62,7;6;85
03359;Stade;LK;2016;10941;10887;60,4;60,2;7;39
03360;Uelzen;LK;2016;5721;5677;65,4;65,2;0;40
03361;Verden;LK;2016;8550;8523;63;62,9;11;34
03401;Delmenhorst;KfS;2016;6641;6634;62;62;70;10
03402;Emden;KfS;2016;4540;4524;58;57,8;1;11
03403;Oldenburg (Oldenburg);KfS;2016;14816;14687;55,1;54,7;14;36
03404;Osnabrück;KfS;2016;17527;17320;59,2;58,7;11;46
03405;Wilhelmshaven;KfS;2016;10073;10057;65,9;65,9;6;16
03451;Ammerland;LK;2016;5113;5106;60,3;60,3;3;31
03452;Aurich;LK;2016;11452;11425;64,1;64;2;93
03453;Cloppenburg;LK;2016;7704;7681;60,6;60,5;4;27
03454;Emsland;LK;2016;19083;18934;60,3;60;11;73
03455;Friesland;LK;2016;5586;5582;65,1;65,1;2;18
03456;Grafschaft Bentheim;LK;2016;8738;8060;65;62,1;5;31
03457;Leer;LK;2016;9567;9336;65,3;64,5;0;31
03458;Oldenburg;LK;2016;6420;6397;56,6;56,5;8;24
03459;Osnabrück;LK;2016;17555;16341;61,4;58,6;8;65
03460;Vechta;LK;2016;6856;6840;57,3;57,2;6;27
03461;Wesermarsch;LK;2016;7725;7713;78,2;78,2;3;16
03462;Wittmund;LK;2016;3453;3441;70,2;70,1;1;9
04011;Bremen;KfS;2016;78465;75701;47,8;46;31;147
04012;Bremerhaven;KfS;2016;13259;13219;51,6;51,5;8;50
05111;Düsseldorf;KfS;2016;77929;71539;46;41,2;13;87
05112;Duisburg;KfS;2016;54023;53812;55,1;54,9;7;81
05113;Essen;KfS;2016;61450;61046;53,5;53,2;20;237
05114;Krefeld;KfS;2016;22621;22571;54,1;54;6;73
05116;Mönchengladbach;KfS;2016;22182;22083;51,9;51,7;5;71
05117;Mülheim an der Ruhr;KfS;2016;14037;13989;52,2;52;3;49
05119;Oberhausen;KfS;2016;17419;17305;53,2;52,8;7;32
05120;Remscheid;KfS;2016;7485;7462;57,4;57,3;3;9
05122;Solingen;KfS;2016;11144;11117;50,4;50,3;2;16
05124;Wuppertal;KfS;2016;37021;36852;51,5;51,2;10;65
05154;Kleve;K;2016;22202;21595;55,6;54,4;10;39
05158;Mettmann;K;2016;31005;30902;51,7;51,5;5;90
05162;Rhein-Kreis Neuss;K;2016;30860;30763;49,3;49,1;4;55
05166;Viersen;K;2016;18936;18687;51,5;50,8;5;51
