key;name;year;for_pop;for_anwerber;for_EU28;for_EUeast;for_notEU;for_syria;for_afghan;for_iraq;ss_total;ss_anwerber;ss_syria;ss_afghan;ss_iraq;ss_total_accept;ss_anwerber_accept;ss_syria_accept;ss_afghan_accept;ss_iraq_accept;ss_total_denied;ss_anwerber_denied;ss_syria_denied;ss_afghan_denied;ss_iraq_denied;ss_total_duldung;ss_anwerber_duldung;ss_syria_duldung;ss_afghan_duldung;ss_iraq_duldung
DG;Deutschland;2013;7633630;3736515;3365675;1585680;4267950;56900;66975;85470;619105;193045;34485;47060;57170;415650;136215;25365;29635;44280;92980;37615;1205;3080;7960;73735;28885;730;2320;7270
01;Schleswig-Holstein;2013;151155;53860;63795;31390;87365;2065;3055;2915;17360;3620;1495;2515;1725;10750;2385;1010;935;1200;1965;520;20;195;220;1755;455;15;190;210
01001;Flensburg, Stadt  ;2013;7565;1890;4405;1320;3160;50;110;155;500;65;25;85;110;305;45;15;35;70;60;10;0;15;20;55;5;0;15;20
01002;Kiel, Stadt  ;2013;20010;7125;6075;3620;13930;510;180;1045;2440;380;355;135;535;1950;325;275;65;440;140;40;0;10;50;130;30;0;10;50
01003;Lübeck, Stadt  ;2013;17750;7320;6535;3390;11215;145;220;475;1555;205;100;175;225;1105;140;65;85;190;95;35;0;5;15;90;35;0;5;15
01004;Neumünster, Stadt  ;2013;5580;2810;1630;1190;3950;110;90;45;810;355;70;65;25;310;115;15;5;15;85;45;0;5;0;65;35;0;5;0
01051;Dithmarschen  ;2013;4640;1170;2380;1510;2260;60;120;65;640;130;50;115;50;300;85;30;15;25;105;20;0;5;0;100;15;0;5;0
01053;Herzogtum Lauenburg  ;2013;9710;4035;4015;2405;5695;150;275;55;1125;335;105;225;40;715;205;90;120;20;160;60;0;10;10;155;60;0;10;10
01054;Nordfriesland  ;2013;6270;1185;3295;1555;2975;130;140;160;835;135;100;125;100;420;90;75;25;60;105;15;0;10;20;95;10;0;10;20
01055;Ostholstein  ;2013;7015;1785;3555;1805;3460;60;160;130;895;175;35;140;100;410;100;25;35;60;170;35;0;15;30;135;30;0;15;30
01056;Pinneberg  ;2013;24630;10605;9735;4895;14895;165;555;215;2600;575;130;430;135;1865;470;75;220;105;270;70;5;35;10;220;60;5;30;10
01057;Plön  ;2013;3325;805;1515;720;1815;80;75;30;530;145;65;65;25;285;70;50;5;10;60;30;5;5;5;60;30;5;5;5
01058;Rendsburg-Eckernförde  ;2013;7315;2330;2850;1255;4465;150;150;150;1340;340;120;135;105;790;225;85;35;55;155;40;0;10;20;120;35;0;10;15
01059;Schleswig-Flensburg  ;2013;6220;880;3765;1185;2450;140;160;105;805;140;85;140;65;395;55;60;30;40;130;25;0;25;10;130;25;0;25;10
01060;Segeberg  ;2013;14735;5900;6605;2850;8130;150;295;140;1340;285;130;235;105;770;175;105;80;40;200;55;0;10;20;190;45;0;10;20
01061;Steinburg  ;2013;4950;1845;2125;1160;2825;65;125;35;650;65;50;110;20;365;45;25;40;10;75;10;0;5;0;70;10;0;5;0
01062;Stormarn  ;2013;11450;4180;5320;2530;6130;95;395;115;1290;295;75;330;80;775;240;15;135;55;145;25;0;25;10;140;20;0;25;10
02;Hamburg;2013;253015;104390;83890;38360;169120;1085;12245;915;26490;5710;680;8830;605;19920;3660;370;7580;415;3465;1575;25;185;80;2745;1245;15;110;65
03;Niedersachsen;2013;525690;208700;233935;117685;291755;9580;3980;9545;64280;21865;6415;2875;6545;45355;15965;5395;1725;5245;9505;4265;165;305;770;8570;3790;120;285;730
031;Statistische Region Braunschweig ;2013;104550;51580;39225;16905;65325;1930;520;1105;11255;4415;1195;400;660;7095;2955;960;230;485;2005;960;20;40;120;1820;860;15;35;110
03101;Braunschweig, Stadt  ;2013;22120;9880;8295;4340;13825;235;45;160;1105;350;65;25;50;645;190;60;20;40;105;40;0;0;10;70;25;0;0;10
03102;Salzgitter, Stadt  ;2013;10595;7060;2725;1705;7870;205;30;75;825;265;155;20;55;590;205;120;5;35;140;40;5;10;15;130;40;5;10;15
03103;Wolfsburg, Stadt  ;2013;14015;8090;8415;1855;5605;285;45;185;1260;435;205;35;135;965;340;200;25;110;185;80;0;0;15;175;75;0;0;15
03151;Gifhorn  ;2013;7990;4190;3445;1350;4545;95;25;90;830;440;85;20;45;450;190;75;10;40;190;110;0;5;5;170;95;0;5;5
03152;Göttingen  ;2013;17795;6895;5235;2375;12560;365;200;245;2325;930;190;145;115;1425;670;70;70;80;375;190;10;10;15;340;180;5;10;10
03153;Goslar  ;2013;7945;3490;2580;1065;5365;155;20;40;825;390;70;15;15;565;250;55;10;15;150;85;0;0;5;125;65;0;0;5
