Nr.,Datum,Ort,Land,Deliktsart,"PMK­rechts"
1,01.01.2016,Berlin,BR,Volksverhetzung § 130 StGB,X
2,01.01.2016,Schwetzingen,BW,"Bildung terroristischer Vereini­gungen § 129a StGB",X
3,01.01.2016,"Altenstadt an der Wald­naab",BY,Volksverhetzung § 130 StGB,X
4,01.01.2016,Bremen,HB,"Gefährliche Körperverletzung§ 224 StGB",X
5,01.01.2016,Kiel,SH,"Gefährliche Körperverletzung§ 224 StGB",
6,02.01.2016,Glückstadt,SH,Beleidigung § 185 StGB,X
7,03.01.2016,Duderstadt,NI,Versammlungsgesetz (VersG),X
8,04.01.2016,Berlin,BR,Körperverletzung § 223 StGB,X
9,04.01.2016,Berlin,BR,Volksverhetzung § 130 StGB,X
10,04.01.2016,Berlin,BR,Körperverletzung § 223 StGB,X
11,04.01.2016,Bamberg,BY,Sachbeschädigung § 303 StGB,X
12,04.01.2016,Bramsche,NI,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
13,05.01.2016,Münsingen,BW,Beleidigung § 185 StGB,
14,05.01.2016,Raisting,BY,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
15,05.01.2016,Lauf an der Pegnitz,BY,Volksverhetzung § 130 StGB,X
16,05.01.2016,Fürstenfeldbruck,BY,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
17,05.01.2016,Schäftlarn,BY,Volksverhetzung § 130 StGB,X
18,05.01.2016,Wetter (Hessen),HE,"Öffentliche Aufforderung zuStraftaten § 111 StGB",
19,05.01.2016,Elmshorn,SH,Körperverletzung § 223 StGB,X
20,05.01.2016,Greußen,TH,Volksverhetzung § 130 StGB,X
21,06.01.2016,Berlin,BR,Beleidigung § 185 StGB,X
22,06.01.2016,Berlin,BR,Volksverhetzung § 130 StGB,X
23,06.01.2016,Ruppertshofen,BW,Sachbeschädigung § 303 StGB,X
24,06.01.2016,Stuttgart,BW,Beleidigung § 185 StGB,X
25,06.01.2016,Konstanz,BW,Volksverhetzung § 130 StGB,X
26,06.01.2016,Altdorf,BY,Volksverhetzung § 130 StGB,X
Nr.,Datum,Ort,Land,Deliktsart,"PMK­rechts"
27,06.01.2016,Landshut,BY,Volksverhetzung § 130 StGB,X
28,06.01.2016,Bürstadt,HE,Volksverhetzung § 130 StGB,X
29,06.01.2016,Düsseldorf,NW,Volksverhetzung § 130 StGB,X
30,06.01.2016,Frankenthal (Pfalz),RP,Volksverhetzung § 130 StGB,X
31,07.01.2016,Konstanz,BW,Volksverhetzung § 130 StGB,X
32,07.01.2016,Arzberg,BY,Volksverhetzung § 130 StGB,X
33,07.01.2016,Osterhofen,BY,Bedrohung § 241 StGB,X
