Nr.,Datum,Ort,Land,Deliktsart,"PMK-rechts"
1,01.10.2016,Heidelberg,BW,"Vergehen gegen das Gesetz über explosi-onsgefährliche Stoffe (SprengG)",
2,01.10.2016,Breitengüßbach,BY,Volksverhetzung § 130 StGB,X
3,01.10.2016,Homberg (Efze),HE,Volksverhetzung § 130 StGB,X
4,01.10.2016,Stadtoldendorf,NI,"Öffentliche Aufforderung zu Straftaten§ 111 StGB",X
5,01.10.2016,Lensahn,SH,Körperverletzung § 223 StGB,X
6,01.10.2016,Zwönitz,SN,Sachbeschädigung § 303 StGB,X
7,02.10.2016,Cottbus,BB,Sachbeschädigung § 303 StGB,X
8,02.10.2016,Berlin,BR,Gefährliche Körperverletzung § 224 StGB,X
9,02.10.2016,Berlin,BR,Beleidigung § 185 StGB,X
10,02.10.2016,Maxhütte-Haidhof,BY,Volksverhetzung § 130 StGB,X
11,02.10.2016,Remscheid,NW,Sachbeschädigung § 303 StGB,X
12,02.10.2016,Dresden,SN,Körperverletzung § 223 StGB,
13,03.10.2016,Schipkau,BB,Beleidigung § 185 StGB,X
14,03.10.2016,Rechberghausen,BW,Volksverhetzung § 130 StGB,X
15,03.10.2016,Rottenburg am Neckar,BW,Volksverhetzung § 130 StGB,X
16,03.10.2016,Kleve,NW,Volksverhetzung § 130 StGB,X
17,04.10.2016,Karstädt,BB,Volksverhetzung § 130 StGB,X
18,04.10.2016,Cottbus,BB,Volksverhetzung § 130 StGB,X
19,04.10.2016,Wittenberge,BB,Volksverhetzung § 130 StGB,X
20,04.10.2016,Künzelsau,BW,Sachbeschädigung § 303 StGB,X
21,04.10.2016,Lauterbach,BW,Volksverhetzung § 130 StGB,X
22,04.10.2016,Oldenburg (Oldenburg),NI,"Störung des öffentlichen Friedens durchAndrohung von Straftaten § 126 StGB",X
23,04.10.2016,Verden (Aller),NI,Sachbeschädigung § 303 StGB,
24,04.10.2016,Duisburg,NW,Volksverhetzung § 130 StGB,X
25,04.10.2016,Leutersdorf,SN,Volksverhetzung § 130 StGB,X
26,05.10.2016,Berlin,BR,Körperverletzung § 223 StGB,X
27,05.10.2016,Würzburg,BY,Volksverhetzung § 130 StGB,X
28,05.10.2016,Essenbach,BY,Volksverhetzung § 130 StGB,X
29,05.10.2016,Essen,NW,Urkundenfälschung § 267 StGB,X
30,05.10.2016,Taarstedt,SH,"Verletzung des Briefgeheimnisses § 202StGB",X
Nr.,Datum,Ort,Land,Deliktsart,"PMK-rechts"
31,05.10.2016,Chemnitz,SN,Volksverhetzung § 130 StGB,X
32,05.10.2016,Chemnitz,SN,Volksverhetzung § 130 StGB,X
33,06.10.2016,Merseburg/Saale,AN,Gefährliche Körperverletzung § 224 StGB,X
34,06.10.2016,Cottbus,BB,Volksverhetzung § 130 StGB,X
35,06.10.2016,Berlin,BR,Körperverletzung § 223 StGB,X
36,06.10.2016,Berlin,BR,Volksverhetzung § 130 StGB,X
37,06.10.2016,Nürnberg,BY,Volksverhetzung § 130 StGB,X
38,06.10.2016,München,BY,Volksverhetzung § 130 StGB,X
39,06.10.2016,Twistringen,NI,Volksverhetzung § 130 StGB,X
40,06.10.2016,Kiel,SH,Volksverhetzung § 130 StGB,X
41,06.10.2016,Sebnitz,SN,Gefährliche Körperverletzung § 224 StGB,X
42,07.10.2016,Berlin,BR,Gefährliche Körperverletzung § 224 StGB,
43,07.10.2016,Bammental,BW,Volksverhetzung § 130 StGB,X
44,07.10.2016,Weißenburg in Bayern,BY,"Gemeinschädliche Sachbeschädigung§ 304 StGB",X
45,07.10.2016,Bad Birnbach,BY,Volksverhetzung § 130 StGB,X
46,07.10.2016,Twistringen,NI,Volksverhetzung § 130 StGB,X
47,07.10.2016,Leipzig,SN,"Verwenden von Kennzeichen verfassungs-widriger Organisationen § 86a StGB",X
48,07.10.2016,Rudolstadt,TH,Sachbeschädigung § 303 StGB,
49,08.10.2016,Mannheim,BW,Volksverhetzung § 130 StGB,X
50,08.10.2016,München,BY,Sachbeschädigung § 303 StGB,X
51,08.10.2016,Eslarn,BY,Volksverhetzung § 130 StGB,X
52,09.10.2016,Blankenfelde,BB,Beleidigung § 185 StGB,X
53,09.10.2016,Öhringen,BW,Sachbeschädigung § 303 StGB,X
54,09.10.2016,Kefenrod,HE,Volksverhetzung § 130 StGB,X
55,09.10.2016,Kassel,HE,"Gemeinschädliche Sachbeschädigung§ 304 StGB",X
56,09.10.2016,Dresden,SN,Volksverhetzung § 130 StGB,X
57,09.10.2016,Chemnitz,SN,Volksverhetzung § 130 StGB,X
58,09.10.2016,Leipzig,SN,Volksverhetzung § 130 StGB,X
59,10.10.2016,Lüneburg,NI,Volksverhetzung § 130 StGB,X
60,10.10.2016,Meiningen,TH,Beleidigung § 185 StGB,X
61,11.10.2016,Gröbzig,AN,Gefährliche Körperverletzung § 224 StGB,X
